"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Població_16_64_anys","Pes_atur"
2018,5,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",8864,7
2018,5,10,"Sant Martí",70,"el Besòs i el Maresme",15685,9.1
2018,5,10,"Sant Martí",71,"Provençals del Poblenou",13932,6.9
2018,5,10,"Sant Martí",72,"Sant Martí de Provençals",16071,8.4
2018,5,10,"Sant Martí",73,"la Verneda i la Pau",17461,8.8
2018,6,1,"Ciutat Vella",1,"el Raval",35577,8.6
2018,6,1,"Ciutat Vella",2,"el Barri Gòtic",13388,6.1
2018,6,1,"Ciutat Vella",3,"la Barceloneta",10928,8.3
2018,6,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",17084,7.3
2018,6,2,"Eixample",5,"el Fort Pienc",21304,5.5
2018,6,2,"Eixample",6,"la Sagrada Família",34381,5.4
2018,6,2,"Eixample",7,"la Dreta de l'Eixample",28960,4.2
2018,6,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",28563,4.7
2018,6,2,"Eixample",9,"la Nova Esquerra de l'Eixample",38127,5.2
2018,6,2,"Eixample",10,"Sant Antoni",25468,5.7
2018,6,3,"Sants-Montjuïc",11,"el Poble Sec",28154,7.4
